image_path,model_output
/teamspace/studios/this_studio/train/india_news_p000042.jpg,"thus not a policy document of the Government of India.
Would you like to elaborate on what then is the essence and thinking on India’s doctrine?                                                                                                                                                                                                                                               The key elements of India's nuclear policy were spelt out by the Prime Minister in Parliament last December. To recapitulate briefly: (a) India shall maintain a minimum nuclear deterrent and shall undertake necessary measures to ensure its credibility. (b) India has declared a moratorium on undertaking any further underground nuclear test explosions, but R&D activity, including computer simulation and sub-critical tests, will be conducted as necessary. (c) Development work on an extended-range Agni missile is under way and a successful flight test was carried out earlier this year. Additional flight testing will be undertaken in a manner that is non-provocative, transparent and consistent with established international norms and practices. (d) India has declared a no-first-use doctrine. This has implicit in it the principle that India shall not use nuclear weapons against non-nuclear-weapon States. (e) In order that our minimum deterrent be credible, we shall adopt and maintain a deployment posture that ensures survivability of assets. Such a posture, obviously, provides for greater safety and security. (f) India will not engage in any arms race. We shall not, therefore, pursue an open-ended programme. (g) A civilian command and control system, with necessary safeguards, shall cater for all possible contingencies. (h) India's commitment to global nuclear disarmament remains undeluded. We will continue to work with other likeminded countries and take initiatives for moving towards a nuclear weapon-free-world. We will also seek to negotiate CBMs, both in the conventional and nuclear fields, with the aim of reducing lack of trust in the region. Many commentators find these elements inconsistent and believe that India has embarked on a programme that will produce a nuclear arsenal larger than that of the U.K. or France. Do you have any comments? I am aware of such apprehensions. These are born of the Cold War experiences, ideology, indeed, even the cliched phrases of those sterile years. The U.S., Russia, the U.K., France and China developed their nuclear weapons as weapons for war. Most nuclear weapon powers follow doctrines of first use, and all of them envisage tactical or sub-strategic roles for their nuclear weapons. The Indian thinking is different, principally, because we have discarded the Cold War reference frame of nuclear war fighting. In our view, the principal role of nuclear weapons is to deter their use by an adversary. For this, India needs only that strategic minimum which is credible. With the policy of ""retaliation only,"" survivability becomes critical to ensure credibility. This ""minimum,"" however, cannot be a fixed physical quantification; it is a dynamic concept but firmly rooted in the strategic environment, technological imperatives and national security needs, and the actual size, components, deployment and employment of nuclear forces will be decided taking into account all these factors. No other nuclear weapon State has conceptualised its capabilities in such terms. India can, and has done, so, because it does not intend to engage in an arms race. Therefore, the question of an arsenal larger than that of country X or Y becomes a non-question. For India, the question is only one of adequacy that is credible and thus defines our ""minimum."" How would you address concerns about India seeking a ""triad""? Let me address the issue of ""triad,"" not because it is part of the NSAB paper, but because there may be genuine misperceptions. It is a known fact that today India has nuclear capable aircraft and mobile land-based nuclear-capable missiles. We have an R&D programme for a naval version of Prithvi that has been a part of the IGMDP launched in 1983. It is also a fact that many analysts, particularly in Western countries, consider nuclear missiles on sub-marines to be the most survivable nuclear asset in the scenarios that they have thought of - first strike, second strike, war and so on. Our approach is different. It is, therefore, premature to talk of an Indian ""triad."" R&D programmes will certainly continue, aimed at enhancing survivability and thus, credibility, but decisions on production, deployment and employment will be taken on the basis of factors that I have outlined earlier. In short, just as parity is not essential for deterrence, neither is a triad, a prerequisite for credibility. Let me suggest that you look at the Indian nuclear deterrent as a ""triad"" based on a different set of three dimensions - a deterrent that is minimum but"
/teamspace/studios/this_studio/train/india_news_p000055.jpg,"India News is published by the Press & Information Wing, Embassy of India. An electronic edition is available at the Embassy's web site:
http://www.indianembassy.org
You can also receive an email version of India News. Join the Embassy Announcement List by sending email to indianembassy@egroups.com
or visit the following site:
http://www.egroups.com/group/indianembassy/info.html
The Embassy also maintains a discussion group for India News readers. You can join by sending email to:
india_discussion@egroups.com
or by visiting the following site:
http://www.egroups.com/group/india_discussion/info.html
Embassy of India Press & Information
2107 Massachusetts Ave., NW
Washington, DC 2008                                                                                                                                                                                                                                                                                                                                                                                                   IN THIS ISSUE
President K.R. Narayanan's address
Republic Day Celebration at the Embassy...
india.com goes Global .
Economic News Updates.
Information on the hijacked Indian Airline
Flight IC-814 ...
Cultural Calendar..
A Force More Powerful: A Century of Nonviolent Conflict
Indian American Forum for IAFPE
South Asian Journalists Association
NetSAP - DC
Indian American woman is among top 50
U.S. pharmacists .
"
/teamspace/studios/this_studio/train/india_news_p000054.jpg,"Indian American Forum for Political Education - IAFPE

The Indian American Forum for Political Education was established in 1982 to serve as a non-partisan, non-profit, political educational forum in Washington, DC. The Mission of IAFPE is to empower Indian Americans politically by raising civic consciousness and increasing participation in community affairs and the mainstream political process. Members from all over the United States discuss political issues of their concern, participate in their communities, and find ways to strengthen ties between the United States and India. Annual conventions are held around the country.

The major purposes of the forum are to function as a catalyst in promoting political awareness and developing civic consciousness, promote voter registration and encourage Indian Americans to exercise their rights to vote and to run for public office, identify issues of concern to Indian Americans and pursue solutions within the political system, and to provide opportunities for learning various aspects of issues affecting the lives of individuals of Indian origin residing in the United States. This learning process takes place through discussions on contemporary civic, economic, and political developments.

More information on IAFPE can be obtained by visiting their website at: [http://www.iafpe.com](http://www.iafpe.com)

South Asian Journalists Association

South Asian Journalists Association (SAJA) was established in March 1994 with 18 members. Currently, SAJA membership has risen to more than 600 journalists of South Asian origin in New York and other cities in the US and Canada. SAJA has 70+ students among its members.

SAJA’s activities include:
- Monthly meetings with distinguished speakers (open to the public)
- The SAJA Journalism Awards
- The SAJA Stylebook, Job Bank and South Asian Events Calendar
- SAJA Directory lists our members
- Free career counseling and feedback for our student members.
- An occasional e-mail newsletter, SAJA-online
- SAJA e-mail discussion list of 200+ journalists in 13 countries.
- A daily compendium of US articles about South Asia and the diaspora.
- SAJA is helping to foster ties among South Asian journalists in North America and improve standards of journalistic coverage of South Asia and South Asian America. As an organization, SAJA’s focus has been on journalism in South Asia and South Asian America, and not the individual nations of South Asia.

More information on SAJA can be obtained by visiting their website at: [http://www.saja.org](http://www.saja.org)

NetSAP - DC

The Network of South Asian Professionals of the greater Washington area (NetSAP-DC) is an organization committed to providing networking, professional development, political education, and community service opportunities to those interested in South Asian-American related affairs. The Network of Indian Professionals (NetIP-USA) was founded in 1990 in Chicago. Over the last six years, the establishment of 21 chapters nationwide has contributed to NetIP’s increasingly significant role in the South Asian professional community in the United States. The national membership today boasts over 2,500 members and is growing every day.

The Washington DC chapter is called the Network of South Asian Professionals (NetSAP-DC) and was formed in May 1995. Our membership has grown dramatically over the past couple of years and now numbers over 550. NetSAP-DC continues to attract more South Asian professionals in the Washington area through its diverse, widely acclaimed programming and members’ enthusiasm. NetSAP-DC relies on its internal resources for its growth and potential. The organization attributes its success to the creativity, diligence, and commitment of its members. Committees continually seek people with new ideas and a little time. NetSAP-DC can be accessed on the Internet at [http://www.netsap.org](http://www.netsap.org)

Indian American woman is among top 50 U.S. pharmacists

Nishamiry Kasbekar, 29, is selected to be among the top 50 pharmacists in the United States. The clinical specialist, who specializes in infectious diseases, has been acknowledged by the American Druggist magazine as among the top 50 influential Pharmacists in the U.S. for her work and implementation of the Anti-microbial Management Program at the Presbyterian Medical Center (PMC), a division of the University of Pennsylvania Health System, in Philadelphia.

This year, she won both the American Society of Health-System Pharmacists’ Best Practice Award and the Pennsylvania Society of Health System Pharmacists Innovative Practice award, for a program in which pharmacists monitored antibiotic therapy in a community hospital. As a result, there is a higher cure rate with infection and a lower failure rate—these were statistically significant differences—and a significant trend toward appropriate therapy when involved with patient care according to Ms. Kasbekar. The hospital viewed it as a huge success because in the initial cost evaluation, it had expected to save $150,000, but ended up saving $500,000.

Her plans for the immediate future include making those awards work overtime for the community. “The award brought us a lot of attention, and we can use it to bring the issues of global resistance out in the community,” she says. “We need to get out to the HMOs and give them strict formularies so we can decrease antibiotic associative resistance.”
"
/teamspace/studios/this_studio/train/india_news_p000080.jpg,"India and U.S. to establish an India-U.S. Science & Technology Forum

New Delhi, March 21, 2000

India and the United States signed an Agreement today to establish the Indo-U.S. Science and Technology Forum to facilitate and promote the interaction, of government, academia, and industry in science, technology and other related areas. The Agreement was signed by the Minister of Human Resource Development, Science & Technology and Ocean Development Dr. Murli Manohar Joshi and the U.S. Secretary of State Madeleine Albright on the first day of the U.S. President Clinton's state visit to India.

The Forum will focus on issues of common concern and activities of mutual benefit while exploring trends in science and technology. The Forum will promote research and development, the transfer of technology, the creation of a comprehensive electronic reference source for Indo-U.S. science and technology cooperation, and the electronic exchange and dissemination of information on Indo-U.S. science and technology cooperation.

The Forum will establish an electronic reference source in order to promote an active electronic exchange of ideas and opportunities in Indo-U.S. science and technology cooperation. The Forum will also commission studies, reports and papers and would assist in facilitating and promoting joint collaboration of projects.

The Forum will be registered as a non-profit Society under the India Society Act and will have the ability to receive funds from public and private sources to carry out its activities. A Governing Body composed of seven members from the United States and seven from India will be established to provide guidance and the leadership to the Forum.

The Forum, will use the USIF interest earnings originally derived from the Agreement between the Government of the Republic of India and the Government of the United States of America on Educational, Cultural and Scientific Cooperation, signed at New Delhi, January 7, 1987, to create an endowment to support the operations of the Forum. The Forum in its capacity as an Indian Society, may also seek to raise funds from industry and private sources, in India and the United States, to support its activities, in accordance with the laws, regulations, and policies of the country in which the funds are being raised."
/teamspace/studios/this_studio/train/india_news_p000036.jpg,"Prime Minister and the Cabinet
October 13, 1999
Shri Atal Bihari Vajpayee has been sworn-in as the Prime Minister of India. The President Shri K.R. Narayanan administered the oath of office and secrecy at the Rashtrapati Bhawan. Shri Vajpayee has assumed the office of the Prime Minister of India for the third time.
Cabinet ministers
1. L K Advani - Home Ananth Kumar - Culture, Youth Affairs and Sports
﻿﻿﻿TR Balu - Environment and Forests
﻿﻿﻿Ms Mamata Banerjee - Railways
﻿﻿﻿George Fernandes - Defense
﻿﻿﻿Jagmohan - Urban Development
﻿﻿﻿Dr Satyanarain Jaitya - Urban Employment and Poverty Alleviation
﻿﻿﻿Ram Jethamalani - Law, Justice and Company Affairs
﻿﻿﻿Manohar Joshi - Heavy Industries and Public Enterprises
﻿﻿﻿﻿Murli Manohar Joshi - Human Resource Development and Science and Technology.
﻿﻿﻿﻿P R Kumaramangalam - Power
﻿﻿﻿﻿Pramod Mahajan - Parliamentary Affairs and
﻿﻿﻿﻿Murasoli Maran - Commerce and Industry
﻿﻿﻿﻿Ram Naik - Petroleum and Natural Gas
﻿﻿﻿﻿Nitish Kumar - Surface Transport
﻿﻿﻿﻿Joel Oram - Tribal Affairs
﻿﻿﻿﻿Ram Vilas Paswan - Communications
﻿﻿﻿﻿Naveen Patnaik - Mines and Minerals
﻿﻿﻿﻿Sunderlal Patwa - Rural Development
﻿﻿﻿﻿Suresh Prabhu - Chemicals and Fertilizers
﻿﻿﻿﻿Kashiram Rana - Textiles
﻿﻿﻿﻿Shanta Kumar - Consumer Affairs and Public Distribution
﻿﻿﻿﻿Jaswant Singh - External Affairs
﻿﻿﻿﻿Yashwant Sinha - Finance
﻿﻿﻿﻿Sharad Yadav - Civil Aviation
Minister of state (Independent)
﻿﻿﻿﻿Maneka Gandhi - Social Justice and Empowerment
﻿﻿﻿﻿Arun Jaitley - Information and Broadcasting
﻿﻿﻿﻿M. Kannappan - Non-Conventional Energy Sources
﻿﻿﻿﻿Dilip Ray - Steel
﻿﻿﻿﻿Ms Vasundhara Raje - Small-Scale Industries
﻿﻿﻿﻿N T Shanmugham - Health and Family Welfare
﻿﻿﻿﻿Ms Uma Bharati - Tourism
Ministers of State
﻿﻿﻿﻿Ramesh Bais - Chemicals and Fertilizers
﻿﻿﻿﻿Bijoya Chakravarty - Water Resources
﻿﻿﻿﻿Shriram Chauhan - Parliamentary Affairs
﻿﻿﻿﻿Bandaru Dattatraya - Urban Development
﻿﻿﻿﻿Jaisingh Rao Patil - Human Resource Development
﻿﻿﻿﻿Santosh Gangwar - Science and Technology
﻿﻿﻿﻿Chaman Lal Gupta - Civil Aviation
﻿﻿﻿﻿Dr Vallabhnhai Kathiriya - Heavy Industries and Public Enterprises
﻿﻿﻿﻿Faggan Singh Kulaste - Parliamentary Affairs
﻿﻿﻿﻿V. Dhananjay Kumar - Finance
﻿﻿﻿﻿Bangaru Laxman - Planning and Program Implementation
﻿﻿﻿﻿Ms Sumitra Mahajan - Human Resource Development
﻿﻿﻿﻿Subhash Maharia - Rural Development
﻿﻿﻿﻿Babulal Marandi - Environment and Forests
﻿﻿﻿﻿Ms Jayawanti Mehta - Power
﻿﻿﻿﻿Munni Lal - Labor and Employment
﻿﻿﻿﻿Omar Farooq Abdullah - Commerce and Industries
﻿﻿﻿﻿Ajit Kumar Panja - External Affairs
﻿﻿﻿﻿Hiran Pathak - Defense
﻿﻿﻿﻿Devendra Pradhan - Surface Transport
﻿﻿﻿﻿E Punnuswari - Petroleum
﻿﻿﻿﻿A Raja - Rural Development
﻿﻿﻿﻿0 Rajgopal - Law Justice and Company Affairs
﻿﻿﻿﻿Dr Raman - Commerce and Industries
﻿﻿﻿﻿N G Ramachandran - Textiles
﻿﻿﻿﻿Vidaya Sagar Rao - Home
﻿﻿﻿﻿SBPPK Satyanarayanan Rao - Agriculture
﻿﻿﻿﻿Bachi Singh Rawat - Defense
﻿﻿﻿﻿Syed Shahnawaz Hussain - Food Processing
﻿﻿﻿﻿Tapan Sikdar - Communication
﻿﻿﻿﻿Digvijay Singh - Railways
﻿﻿﻿﻿T. H. Chaoba Singh - Culture Youth Affairs Sports
﻿﻿﻿﻿V. Sreenivasa Prasad - Consumer Affairs and Public Distribution
﻿﻿﻿﻿I. D. Swami - Home
﻿﻿﻿﻿Dr (Ms.) Rita Verma - Mines and Minerals
﻿﻿﻿﻿Balasaheb Vikhe Patil - Finance
﻿﻿﻿﻿Hukumdeo Narayan Yadav - Agriculture
The Prime Minister will look after unallocated port-folios. Ms Vasundhara Raje will also assist the Prime Minister in handling the ministries of Personnel, Public Grievances and Pensions, Department of Energy and Department of Space. Mr. Dilip Ray and Santosh Gangwar will also assist the Minister of Parliamentary"
/teamspace/studios/this_studio/train/india_news_p000053.jpg,"Cultural Calendar

Odissi dance

FREMONT — Jyoti Rout performs Odissi classical dance, Qanda Devi Bandhan. The evening also features a solo sitar recital by David Gray, student of Ustad Habib Khan.

The event is being held on February 13 at 5 pm at Ohlone College, 43600 Mission Blvd. Tickets cost $15.

For information, call Shoba at (510) 223-0786.

IACA banquet

ATLANTA — The India American Cultural Association is organizing its annual banquet on February 20 at 6:30 pm at the Hilton Atlanta Northwest, 2055 South Park Place.

For information, call (770) 953-9300.

Celebrate the millennium's first Valentine Day. Featured are casino games and prizes, silent auction and Valentine photo/portraits (separate charges).

For more information, call (770) 993-4356/971-5971.

CPuja: Expressions of Hindu Devotion

As part of its ""Image-in Asia"" series for kids, Smithsonian Institution presents special sessions on ""Birds and Gods"". Children will explore the exhibition ""Puja: Expressions of Hindu Devotion"" (125 works in bronze, brass, copper, wood, silver, granite, crystal, stone, terra cotta and shell, ranging in date from the 9th to the 20th centuries, on view at the Sackler Gallery) to find relationships between birds and gods in Hindu mythology. In the Image-in-Asia classroom, the young participants can then construct mobile of folded paper birds and deities who ride upon them. The sessions will be held on Saturdays (February - 12, 19, 26) and Sundays (February - 13, 20, 27). Venue is the classroom on the second level of the Sackler Gallery: 1050 Independence Ave., SW, Washington, DC. For more information, please call (202) 357-4880.

Asian Music by Lalgudi Krishnan

Smithsonian Institution features ""Asian Music"" by Lalgudi Krishnan. The celebrated violist, who has received numerous awards in India and appeared in concert worldwide, will perform in the south Indian classical style, accompanied by 'mridangam' (drum), 'ghatam' (clay jar) and 'kanjira' (tambourine). FEBRUARY 18 at 7:30 p.m. Venue is the Freer Gallery's Meyer Auditorium: Jefferson Drive at 12th Street, SW, Washington, DC. Up to two free tickets per person will be distributed one hour before the event. For more information: (202) 357-2700.

Cultural Portraits of India

An online gallery of Lindsay Hebbard's 'Cultural Portraits of India' exhibition and book. Lindsay Hebbard, internationally acclaimed photographer, publisher and producer of educational photographic exhibitions, spends the majority of each year documenting distinctive cultures, traditions and environments around the world.

http://www.culturalportraits.com/CPindia/cpindia1.htm                                                                                                                                                                                                                                                                            15th Annual South Asia Conference at Berkeley Center for South Asia Studies
University of California, Berkeley
February 19 & 20, 2000
For Information: Phone: (510) 642-
3608/Fax: (510) 643-5793
Email:
csasasst@uclink4. berkeley.edu
http://www.ias.berkeley.edu/
southasia/conference.html
Maharajas, Women &
Medicine: Medical Pluralism in the Indian Princely States An exhibition from the Private collection of Kenneth Robbins. Presented as part of Chatham College global focus year of South Asia
March 5-10, 2000 (noon to 5 pm)
Chatham College Woodland Gallery,
Pittsburgh
A Force More Powerful: A Century of Nonviolent Conflict

A premier screening of the documentary film ""A Force More Powerful, a Century of Nonviolent Conflict"" was held on December 9, 1999 at a function organized by the US Institute of Peace, Human Rights Watch and Amnesty International in Washington D.C. The Mayor of Washington D.C., Anthony Williams, and Ambassador of India to US, Mr. Naresh Chandra joined the Washington-based Filmmaker, Steve York and the Chairman of the Santa Monica Pictures L.L.C., Peter Ackerman.

The feature length documentary presents one of the 20th century's most important and inspiring stories — the victory of nonviolent power over oppression and authoritarian rule. It explores situations in which freedom was achieved through the philosophy and methods developed by Mahatma Gandhi of India. The first segment documents Gandhi's fight for India's independence from British rule and includes powerful episodes from history where nonviolence overcame injustice, discrimination and authoritarianism. The film then focuses on 1959 Nashville protests led by Rev. James Lawson who studied Gandhi's philosophy and method in India. The final segment of the film concerns Mkhuseli Jack, one of the most prominent leaders in South Africa whose inspired boycotts hastened the end of apartheid in that country.

The film brings to the fore the originality, courage and moral superiority of the ideas of Mahatma Gandhi, the leading personality of the 20th century. In his own words, nonviolence became ""a priceless and matchless weapon. Those who wield are strangers to disappointment and defeat."" The greatness of these ideas was clearly a powerful force behind the making of the film. In the words of Producer-Director-Writer Steve York, ""when I was in India, I walked along the dusty road leading to the beach where Gandhi broke the salt law. It looks about the same as it did in 1930. The place is nothing special, it's what Gandhi did there that's remarkable..."". Several speakers paid tributes to Gandhi identifying him as the Man of the Century."
/teamspace/studios/this_studio/train/india_news_p000127.jpg,"India-U.S. Relations: A Vision for the 21st Century

At the dawn of a new century, President Clinton and Prime Minister Vajpayee resolve to create a closer and qualitatively new relationship between the United States and India.

We are two of the world's largest democracies. We are nations forged from many traditions and faiths, proving year after year that diversity is our strength. From vastly different origins and experiences, we have come to the same conclusions: that freedom and democracy are the strongest bases for both peace and prosperity, and that they are universal aspirations, constrained neither by culture nor levels of economic development.

There have been times in the past when our relationship drifted without a steady course. As we now look towards the future, we are convinced that it is time to chart a new and purposeful direction in our relationship.

Globalization is erasing boundaries and building networks between nations and peoples, economies and cultures. The world is increasingly coming together around the democratic ideals India and the United States have long championed and lived by.

Together, we represent a fifth of the world's people, more than a quarter of the world's economy. We have built creative, entrepreneurial societies. We are leaders in the information age. The currents of commerce and culture that link our societies run strong and deep. In many ways, the character of the 21st century world will depend on the success of our cooperation for peace, prosperity, democracy and freedom.

That presents us with an opportunity, but also a profound responsibility to work together. Our partnership of shared ideals leads us to seek a natural partnership of shared endeavors.

In the new century, India and the United States will be partners in peace, with a common interest in complementary responsibility for ensuring regional and international security. We will engage in regular consultations on, and work together for, strategic stability in Asia and beyond. We will bolster joint efforts to counter terrorism and meet other challenges to regional peace. We will strengthen the international security system, including in the United Nations, and support the United Nations in its peace-keeping efforts. We acknowledge that tensions in South Asia can only be resolved by the nations of South Asia. India is committed to enhancing cooperation, peace and stability in the region.

India and the United States share a commitment to reducing and ultimately eliminating nuclear weapons, but we have not always agreed on how to reach this common goal. The United States believes India should forgo nuclear weapons. India believes that it needs to maintain a credible minimum nuclear deterrent in keeping with its own assessment of its security needs. Nonetheless, India and the U.S. are prepared to work together to prevent the proliferation of nuclear weapons and their means of delivery. To this end, we will persist with and build upon the productive bilateral dialogue already underway.

We reaffirm our respective voluntary commitments to forgo further nuclear explosive tests. We will work together and with others for an early commencement of negotiations on a treaty to end the production of fissile materials for nuclear weapons. We have both shown strong commitments to export controls, and will continue to strengthen them. We will work together to prevent the spread of dangerous technologies. We are committed to build confidence and reduce the chances of miscalculation. We will pursue our security needs in a restrained and responsible manner, and will not engage in nuclear and missile arms races. We will seek to narrow our"
/teamspace/studios/this_studio/train/india_news_p000057.jpg,"CLINTON VISIT (Continued from page 1)

economic, scientific and technological assistance that, among others, made the Green Revolution in the mid-1960s possible.

The end of the Cold War in the 1990s, coinciding with the liberalization of the Indian economy, saw a steady improvement in India-US relations with the Clinton Administration identifying India as one of the 10 major emerging markets. The last few years have witnessed a number of high-level exchanges, unprecedented in the history of bilateral relations, as well as a commencement of a ""strategic dialogue"", which were expected to culminate in a US Presidential visit to India in 1998.

The nuclear tests of May 1998 caused a temporary setback to the relationship. The US imposed wide-ranging economic sanctions under the 1994 Nuclear Proliferation Prevention Act (Glenn Amendment) besides terminating all forms of defense cooperation, including IMET. The US has, nonetheless, recognized the need to engage India in an effort to address its own concerns and to normalize relations.

Following ten rounds of talks from June 1998 between External Affairs Minister Jaswant Singh and Deputy Secretary of State Strobe Talbott,

normalcy has been restored to the bilateral relationship, although some issues still remain to be resolved. President Clinton's forthcoming visit to India is an opportunity for both countries to build a new relationship between the world's two largest democracies in the 21st century based on their common strengths, values and interests.

Bilateral trade between the two countries has exceeded US $12 billion in 1999. There was a decline in FDI inflows from the US in 1998 (US $349 million as against US $719 million in 1997), which could be attributed not only to the impact of the economic sanctions on the general investment climate in India, but also to the South East Asian turmoil and the slowdown in the Indian economy. There was an upward trend in 1999, with FDI inflows in the first four months of the year itself amounting to US$ 186 million. The waiver of sanctions and the opening up of the insurance sector in India are likely to further increase FDI inflows into India in the near future.

Some of the areas in which the two countries are well placed to launch a new era of cooperation are science and technology, energy, environment, infrastructure development and information technology. Apart from the two governments, cooperation is also being intensified between professional societies and business and trade representatives of the two countries.

Past U.S. Presidential Visits to India

President Dwight Eisenhower on arrival in New Delhi, December 10, 1959 with Prime Minister Nehru, Vice President Radhakrishnan, Mrs. Indira Gandhi, and President of India Rajendra Prasad.

President Richard Nixon addressed a state banquet in the Rashtrapati Bhavan in New Delhi, August 1, 1969; Prime Minister Indira Gandhi is to the right of the President.

Prime Minister Morarji Desai welcomes President and Mrs. Jimmy Carter on their arrival in New Delhi, January 1, 1978."
/teamspace/studios/this_studio/train/india_news_p000010.jpg,"of it. We need to re-examine this in detail. Globally, India has to move purposefully towards realizing its true dimensions - as a major civilisational state, with its own strategic autonomy and strategic space, born out of its economic and political interaction with other countries particularly in the Asia-Pacific com-munity. The real wealth of a nation is its people. History and paucity of appropriate resources prevented us from participating in the economic transformations brought about since the Industrial Revolution. In 1820, Asia contributed 58 per cent of the World GDP; today it is at 37 per cent; by 2020, expectations are that it could regain the level of 200 years ago. India has a signal role to play in the coming decades. With our democratic institutions, a large skilled manpower base, geographic loca-tion, we must ensure that India rides the crest of this wave.
Through the travail and fire of Kargil our nation has been re-newed. The mood though som-bre, is confident. National will stands sharpened. The sacrifice of our youth has not and will not be in vain. That is the solemn message of Kargil to the nation and to the world. I close with the poignant words of the memorial at Kohima, that stands tall and proud on a hill, commemorating those who fell in another war:
""When you go home
Tell them of us
And say
For your Tomorrow We gave our Today.”                                                                                                                                                                                                                                                                                                       Embassy Diary:

With approvals from several US authorities in hand, the plans for the construction of the Mahatma Gandhi Memorial are now in their final stages. The memorial, which will be installed on Massachusetts Avenue opposite the Embassy, will have a statue of the Father of the Nation as its centerpiece.

The Embassy worked on all fronts to put forward India's position during the Kargil crisis to US policy makers both in the US Congress and in the Administration. The Ambassador, Deputy Chief of Mission and other senior officials also met prominent members of think tanks and the US media to keep them up-to-date on developments. Embassy's website www.indianembassy.org was also usefully employed to project India's viewpoints during the Kargil crisis.

The Embassy continued its efforts to reach out to different sections of the United States public as well as the Indian American community. The Ambassador and the Deputy Chief of Mission sent out letters at regular intervals to apprise the community of current developments in Indo-US relations and Government of India's policies. They and other officers also participated in several community functions both in Washington and other parts of the country including the Indo-American Friendship Council's annual meeting in Washington, Independence Day festivities and Parade in Chicago, the 17th Annual American Association of the Physicians of India's origin, San Francisco, JAINA Convention, Philadelphia besides several other functions.

The Embassy continued its interaction with all sections of the media including major television networks. Ambassador Naresh Chandra spoke at a function at National Press Club on May 20 and Deputy Chief of Mission Mr. T.P. Sreenivasan spoke at another function organized at the National Press Club on August 9.

The Embassy cooperated with the Smithsonian Institution in organizing a six part lecture series on Rajasthan, with the National Museum for Women in Arts to present the creation of Indian women, and with the John Hopkins Institute and the Smithsonian Institute for their programme on religion and traditions in India."
/teamspace/studios/this_studio/train/india_news_p000145.jpg,"EMBASSY OF INDIA

Q STREET, N.W.

Mahatma Gandhi Memorial

2107 Massachusetts Avenue, NW

Washington, DC 20008

India & World Trade Organization

(Continued from page 18)

gently so as to ensure that the multilateral trading system results in mutual benefits for all countries.

India was also able to moderate the wording on global coherence as much as 'coherence' has been diluted to 'cooperation' in the critical portions of the UNCTAD-X Declaration and Plan of Action. India feels that strengthened 'coherence' between WTO and the UN organizations may lead to increased cross conditionsities, which may narrow down our policy options for development. Thus our success in diluting the coherence brief in UNCTAD is significant.

(b) Under the second track of post-Seattle follow up Government has held consultations to appraise the situation arising out of the failure of the Seattle Ministerial Conference to reach consensus on major issues.

A meeting of the Advisory Committee on International Trade was convened on February 3, 2000 to apprise the Committee of the important developments at and immediately after Seattle and seek the Committee's advice on the way forward. The gist of the Committee's advice to Government has been to ask Government to review the implementation issues and prioritise those which are of core interest; to ensure that our implementation demands are properly attuned to our autonomous programme of domestic economic liberalisation; to evolve a suitable response to a situation where even some of the developing countries are willing to accept some watered down version of a group on trade and labour in association with the WTO; and evolve our stand on environment so that we don't appear to be against protection of environment; to give adequate publicity to our positive record of adherence to ILO conventions and ongoing efforts for implementation of core labour standards; and to formulate a national consensus on biotechnology etc.

(c) The third strand of our post-Seattle approach has been to participate actively in the meetings of the General Council of the WTO and its subsidiary bodies to continue to emphasise the areas of our concern. India has participated actively in the General Council meetings held post-Seattle on December 17, 1999 and on February 2, 7 & 29, 2000."
